Clave,Descripción,Línea,Existencias,Modelo,Talla,Color,Cuenta contable,Clave alterna
SALES-004,OMEGAMIN OVICAPRINO 20KG SAL-OV-20,NUBBA,68,,,,,
SALES-003,GANATEC PASTOREO 25 K  8GTEC-P / 9GTEC-P,NUBBA,20,,,,,
SALES-002,PROTELICK OVINOS 25 KG MIN-079,NUBAM,46,,,,,
SALES-001,TROPHY MAKER 25 KG  MNA,MNA,0,,,,,
REVETMEX-081,ANALVET 50 ML,REVET,9,,,,,
REVETMEX-080,REVETCICLINA F 4 MILL,REVET,46,,,,,
REVETMEX-079,REVETCICLINA F 2 MILL,REVET,42,,,,,7506407400243
REVETMEX-078,ENDOVET NF 500 ML,REVET,4,,,,,
REVETMEX-077,ELECTROLITOS CUBETA 5KG,REVET,5,,,,,
REVETMEX-076,CALCIOAMINOVIT 500ML,REVET,24,,,,,
REVETMEX-074,ENDOVET INY. 50ML,REVET,62,,,,,
REVETMEX-073,ENDOVET NF 100ML,REVET,17,,,,,
REVETMEX-072,ESTREPTOGANABENCIL 6MILL,REVET,25,,,,,7506407400144
REVETMEX-071,ENDOVET PASTA 14GR,REVET,133,,,,,7506407400465
REVETMEX-070,RAFOXCUR 250ML,REVET,19,,,,,
REVETMEX-069,DOLOVET TABLETAS CARTERA C/4 TABLETAS,PQREV,433,,,,,
REVETMEX-068,REVETCUR 5% SOBRE 10GR,REVET,205,,,,,7506407400632
REVETMEX-067,AVIERIZOL 5 GR,PQREV,695,,,,,7506407400649
REVETMEX-066,POLIVIT AVES TARRO 100 TABLETAS,REVET,0,,,,,
REVETMEX-065,CALCIOAMINOVIT FCO. 250ML,REVET,29,,,,,7506407400083
REVETMEX-064,IMIDOFIN TABLETAS C/20 TAB.,REVET,104,,,,,7506407400786
REVETMEX-063,ENROCILINA 10% 25ML,REVET,14,,,,,7506407401936
REVETMEX-062,DIURAVET 10 ML,REVET,99,,,,,7506407400106
REVETMEX-061,SUPER POLIVIT GALLOS 5500 5ML,PQREV,27,,,,,7506407400557
REVETMEX-060,ENROCILINA 10% 250 ML,REVET,67,,,,,
REVETMEX-059,ENDOVET INY. 100ML,REVET,38,,,,,7506407400182
REVETMEX-058,ENDOVET INY. 1% 500 ML,REVET,0,,,,,
REVETMEX-057,BENZAMIN B12 25 ML,REVET,164,,,,,
REVETMEX-056,SANA SANA GEL 200 GR,PQREV,39,,,,,7506407400953
REVETMEX-055,RAFOXCUR 100 ML,REVET,19,,,,,7506407400571
REVETMEX-054,RAFOXCUR 50 ML,REVET,29,,,,,7506407400564
REVETMEX-053,MICOFIN 1% 30 ML SPRAY,PQREV,73,,,,,7506407400922
REVETMEX-052,MICOFIN 5% 100 ML,REVET,12,,,,,7506407400892
REVETMEX-051,MICOFIN TABLETA CARTERA DE 4TBS.,PQREV,784,,,,,
REVETMEX-050,ELECTROLITOS 100 GR,REVET,202,,,,,7506407400687
REVETMEX-049,RAFOXCUR 500 ML,REVET,20,,,,,
REVETMEX-046,BRONQUIVET NF 50ML,REVET,29,,,,,7506407400328
REVETMEX-045,ENROCILINA CAJA C/20 TAB,PQREV,48,,,,,
REVETMEX-044,ENDOVET INY 1% 10 ML,REVET,194,,,,,7506407400168
REVETMEX-043,MICOFIN 5% 10 ML,REVET,21,,,,,7506407400885
REVETMEX-041,POLIVIT B12 + ADE 10 ML,REVET,276,,,,,7506407400663
REVETMEX-040,ENDOVET CES INYECTABLE 100 ML,REVET,77,,,,,7506407400830
REVETMEX-039,DOLOVET OFTALMICO GOTERO 10ML,PQREV,400,,,,,7506407400625
REVETMEX-038,ENDOVET CES INYECTABLE 10 ML,REVET,189,,,,,7506407400823
REVETMEX-035,SHAMPOO NATURALDREM ESTRES Y RASCADO,REVET,0,,,,,
REVETMEX-033,DOLOVET OTICO GOTERO 10ML,PQREV,290,,,,,
REVETMEX-032,SULFATRIM-INY 25 ML,REVET,31,,,,,
REVETMEX-028,ANALVET 100ML,REVET,49,,,,,7506407400069
REVETMEX-027,ENDOVET PASTA NF 14 GR.,REVET,132,,,,,7506407400946
REVETMEX-026,VERMIVET POLIVITAMINADO 50 ML,REVET,39,,,,,7506407400366
REVETMEX-025,VERMIVET POLIVITAMINADO 10 ML,REVET,85,,,,,7506407400670
REVETMEX-024,ENDOVET POLIVITAMINADO 10 ML,REVET,30,,,,,7506407400472
REVETMEX-023,ENDOVET POLIV. 100 ML,REVET,36,,,,,7506407400496
REVETMEX-022,ENDOVET POLIVIT. 50 ML,REVET,243,,,,,7506407400489
REVETMEX-021,DIURELAX 50 GRS,REVET,54,,,,,7506407400656
REVETMEX-020,VERMIVET POLIVITAMINADO 250 ML,REVET,61,,,,,7506407400380
REVETMEX-019,VERMIVET POLIVITAMINADO 100 ML,REVET,50,,,,,7506407400373
REVETMEX-018,ENDOVET CREMA 50 GRS,PQREV,186,,,,,7506407400793
REVETMEX-017,SUPER POLIVIT GALLOS 5500 50ML,PQREV,46,,,,,7506407400601
REVETMEX-016,ENDOVET GALLOS 1 CARTERA CON 4 TABL,PQREV,524,,,,,7506407400847
REVETMEX-015,ENDOVET POLIVIT. 250 ML,REVET,207,,,,,7506407400502
REVETMEX-013,SULFATRIM 100 ML,REVET,91,,,,,7506407400281
REVETMEX-011,POLIVIT B-12+ADE FCO. 250 ML.,REVET,164,,,,,7506407400694
REVETMEX-010,POLIVIT B-12+ADE FCO. 100 ML,REVET,34,,,,,7506407400236
REVETMEX-009,IMIDOFIN INY. 10ML,REVET,196,,,,,7506407400762
REVETMEX-008,GALLIFORTE C/100 TABLETAS,PQREV,233,,,,,7506407400311
REVETMEX-007,VITAMINA B12 5500 FCO. 30ML,REVET,15,,,,,7506407401721
REVETMEX-006,IMIDOFIN INY. 100 ML.,REVET,127,,,,,7506407400779
REVETMEX-005,ELECTROLITOS 5 GR,PQREV,"1,322.00",,,,,7506407401066
REVETMEX-004,POLIVIT B12+ADE FCO. 500 ML.,REVET,53,,,,,7506407400335
REVETMEX-003,POLIVIT B-12+ADE FCO. 50 ML,REVET,80,,,,,7506407400229
REVETMEX-002,VITAMINA B12 5500 FCO 100 ML,REVET,114,,,,,7506407401028
REVETMEX-001,VERMIVET POLIVITAMINADO 500ML,REVET,32,,,,,7506407400397
REVEMEX-032,SULFATRIM 10 ML,REVET,79,,,,,7506407400298
REVEMEX-031,INYECTOR CUERNO LARGO,REVET,3,,,,,
REVEMEX-027,ENDOVET TABLETAS CJA. C/20,PQREV,211,,,,,7506407400205
REVEMEX-021,ENDOVET CES 1 CARTERA CON 4 TAB,PQREV,"2,437.00",,,,,
REVEMEX-014,REVETCICLINA 6 MILL,REVET,28,,,,,
REVEMEX-007,SULFATRIM 50 ML,REVET,46,,,,,7506407400274
QUIMIX-014,--ERRADIC BLOCK PERFORADO 1KG    - 20GR-,QUIMI,0,,,,,
QUIMIX-013,---ERRADIC CEREAL CB 5 KG,QUIMI,0,,,,,
QUIMIX-012,ERRADIC BLOCK PARAFINADO CB 5KG,QUIMI,0,,,,,
QUIMIX-011,-ERRADIC BLOCK PARAFINADO 1 KG. - 5-7 GR,QUIMI,0,,,,,
QUIMIX-010,ERRADIC CEREAL 1 KG,QUIMI,1,,,,,
QUIMIX-009,--ERRADIC PELLETS 25 GR / exterpro sobre,QUIMI,0,,,,,
QUIMIX-008,ZAPPER IMIDA 20 GR,QUIMI,100,,,,,
QUIMIX-007,RODENFAST 100GR,QUIMI,0,,,,,
QUIMIX-006,ERRADIC LIQUIDO 100ML,QUIMI,0,,,,,
QUIMIX-005,EXTERGEL CUCARACHICIDA PLUS 10gr.,QUIMI,0,,,,,
QUIMIX-004,EXTERPRO CUBO 140GR.,QUIMI,27,,,,,
QUIMIX-003,--ERRADIC CEREAL 100 GR,QUIMI,0,,,,,
QUIMIX-002,FIPROTICK 100ML,QUIMI,3,,,,,
QUIMIX-001,FIPROTICK 2% 1 LTO,QUIMI,0,,,,,
PVC-124,ADAPTADOR INSERCCION 1/2 - 3/4,PVC,0,,,,,
PVC-041,COPLE INSERCION 3/4 PVC,PVC,0,,,,,
PROQUIVET-001,DEXABIOTIC 50 MILL,PROQU,0,,,,,
PROMOVET-042,IVERLAB 1% 500ML,PROMO,0,,,,,
PROMOVET-041,IVERLAB 1% 250ML,PROMO,0,,,,,
PROMOVET-040,IVERLAB 1% 100ML,PROMO,0,,,,,
PROMOVET-039,HIERROVET B12  10ML,PROMO,22,,,,,
PROMOVET-038,GUAYALFOR 50ML,PROMO,5,,,,,
PROMOVET-037,DIPIROX 100ML,PROMO,5,,,,,
PROMOVET-036,DIPIROX 50ML,PROMO,1,,,,,
PROMOVET-035,VETCICLINA 10ML,PROMO,0,,,,,
PROMOVET-034,HIERROVET B12 500ML,PROMO,12,,,,,
PROMOVET-033,HIERROVET B12 100ML.,PROMO,18,,,,,
PROMOVET-032,HIERROVET B12 50ML,PROMO,41,,,,,
PROMOVET-031,VETIFLOX 10% ORAL 20ML.,PROMO,0,,,,,
PROMOVET-030,VETIFLOX 10% INY. 100ML.,PROMO,0,,,,,
PROMOVET-029,HIERROVET B12 30 ML,PROMO,0,,,,,
PROMOVET-028,VITEMASEL 100 ML,PROMO,0,,,,,
PROMOVET-027,SUERO GLUCOSADO 50% 500ML,PROMO,0,,,,,
PROMOVET-026,PENICILINA OLEOSA 6 MILL,PROMO,3,,,,,
PROMOVET-025,KARRAGYL 100ML,PROMO,2,,,,,
PROMOVET-024,FLUMIVET 80 8 MUI,PROMO,19,,,,,
PROMOVET-023,FLUMIVET 80 2 MUI,PROMO,5,,,,,
PROMOVET-022,FLUMIVET 80 1 MUI,PROMO,10,,,,,
PROMOVET-021,COBAXIN F 10ML,PROMO,4,,,,,
PROMOVET-020,FLUMIVET 80 4MILL,PROMO,79,,,,,
PROMOVET-019,PENICILINA OLEOSA 75 MILL,PROMO,153,,,,,
PROMOVET-018,PENICILINA OLEOSA 30 MUI 100ML,PROMO,81,,,,,
PROMOVET-017,PARYLAC 10ML,PROMO,0,,,,,
PROMOVET-016,ERGOPAR 30ML,PROMO,2,,,,,
PROMOVET-015,VETIFLOX 10% INY. 50ML,PROMO,0,,,,,
PROMOVET-014,VITACALCIO 100ML,PROMO,0,,,,,
PROMOVET-013,VITACALCIO 500 ML,PROMO,0,,,,,
PROMOVET-012,PARYLAC 250ML,PROMO,1,,,,,
PROMOVET-011,---IVERSULON 50ML,PROMO,0,,,,,
PROMOVET-010,VITACALCIO 250ML,PROMO,0,,,,,
PROMOVET-009,DICLOPEN F 6 MILL,PROMO,489,,,,,
PROMOVET-008,FOSFERIL B12 100ML,PROMO,0,,,,,
PROMOVET-007,PROBIORIN 500 ML   PLASTICO,PROMO,3,,,,,
PROMOVET-006,VETCICLINA 100 ML,PROMO,79,,,,,
PROMOVET-005,VETCICLINA 500 ML,PROMO,126,,,,,
PROMOVET-004,ERGOPAR C/2 AMP 10 ML,PROMO,229,,,,,
PROMOVET-003,SUPRIM 25 ML,PROMO,50,,,,,
PROMOVET-002,SUPRIM 100 ML,PROMO,40,,,,,
PROMOVET-001,SUPRIM 250 ML,PROMO,60,,,,,
PISA-235,CLOZEPAXEL 400 TAB C/90,PQPIS,0,,,,,
PISA-234,CLOZEPAXEL 100 C/90 TAB,PQPIS,0,,,,,
PISA-233,COCCILIBER 20% PREMEZCLA SACO 25KG,PISA,0,,,,,
PISA-23,CALCIOSOL FORTE INY 100 ML 4002110,PISA,15,,,,,7502099487425
PISA-227,MELOCAXYL IV SOL. INY. 20ML  4050468,PQPIS,0,,,,,
PISA-223,NAXIFELAR VET 6 TAB CJA C/14TAB,PQPIS,3,,,,,
PISA-222,NAXIFELAR VEY 3 TAB CAJA C/14 TAB,PQPIS,12,,,,,
PISA-221,ELECTRODEX DOG 625ML,PQPIS,678,,,,,
PISA-220,SELECTUR EXTRA 20% SUSP. 100ML,PISA,0,,,,,
PISA-219,NEUMOENTER PLUS PREM. 25 KG,PISA,0,,,,,
PISA-218,----LARVOPEC 10MG 500ML,PISA,0,,,,,
PISA-217,HIALUVIC VET 10MG/ML C/2,PQPIS,0,,,,,
PISA-216,SEBACICLINA 50 500ML,PISA,0,,,,,
PISA-215,NF 180 TERNEROS  C/200,PISA,0,,,,,
PISA-214,"AMINOFOSCAL VIT. 500,L",PISA,0,,,,,
PISA-213,----FOSFODICA ORAL 1 LTO,PISA,0,,,,,
PISA-212,FURACINE® NF POMADA 85.GR,PISA,0,,,,,
PISA-211,FURACINE® NF POMADA 453GR,PISA,0,,,,,
PISA-210,PISAFEN PASTA EQ 32GR,PQPIS,0,,,,,
PISA-208,FURACINE® NF SOL. TOPICA 3.5L,PISA,1,,,,,
PISA-207,DARBAZIN PASTA ORAL 32.4 GR,PQPIS,76,,,,,
PISA-206,"CATETER PERIFERICO CAL.20,22, 24 VIAPEN",PQPIS,"2,486.00",,,,,7502099406167
PISA-205,ZIPAMIX 4.8 5 KG,PISA,0,,,,,
PISA-204,ELECTRODEX 10 KG,PISA,0,,,,,
PISA-203,------ECTOSIN 1% 1 LTO,PISA,0,,,,,
PISA-202,OXITOPISA 50ML,PQPIS,0,,,,,
PISA-201,TH4 10 LITROS,PISA,0,,,,,
PISA-200,HIALUVISC EQ. 10 MG  INY. 4 ML,PQPIS,2,,,,,
PISA-199,TH4+ ENV PLASTICO 25 LTS,PISA,0,,,,,
PISA-198,PRANTEL HRT GRANDE C/6 4046071,PQPIS,14,,,,,
PISA-197,PRANTEL HRT MEDIANO C/6 4046070,PQPIS,5,,,,,
PISA-196,PRANTEL HRT CHICO C/6 4046069,PQPIS,45,,,,,
PISA-195,SOLUCION DX-5 FLEX. 1 LTO 4001276,PQPIS,28,,,,,
PISA-194,MELOCAXYL TABLETAS 3MG CAJA C/30,PQPIS,0,,,,,
PISA-193,-----KILONTERFULIF 4% INY.,PISA,0,,,,,
PISA-192,PET SHINE SPA JABON BARRA 100GR 4018129,PQPIS,0,,,,,
PISA-191,HENEXAL VET. 50MG 10ML 4001308,PQPIS,52,,,,,
PISA-190,-----OXITOPISA 50ML,PISA,0,,,,,
PISA-189,FENPIZOL PVO. 4% SOBRE 12.5G,PISA,15,,,,,
PISA-188,----TNK ENZIM SOL. TOPICA 1 LTO,PISA,0,,,,,
PISA-187,ANTIVON 2MG 20ML 4046063,PQPIS,62,,,,,
PISA-186,KRUNAMINA VET AZUL.25MG INY 10ML 4046053,PQPIS,19,,,,,
PISA-185,ATROPISA .5MG SOL. INY. 10ML,PQPIS,22,,,,,
PISA-184,REDDY JARABE 150ML,PQPIS,71,,,,,
PISA-183,SOLDRIN CLEAN OTIC 1.5% /1% 120 ML 7433,PQPIS,41,,,,,
PISA-182,PET SHINE PISA BARRA 100G 4005161,PQPIS,46,,,,,
PISA-181,FIST GEL 0.05% JGA. 30 GR GEL CUCARACHA,PQPIS,2,,,,,
PISA-180,CLINDAPIS TABLETAS 150MG CJA.C/20 401417,PQPIS,40,,,,,
PISA-179,MELOCAXYL 1.5mg SUSP. ORAL 32ML 4017435,PQPIS,3,,,,,
PISA-178,VODEXAT 2 mg/ml fCO. 50ML,PQPIS,82,,,,,
PISA-177,RELAZEPAM VET. 5ML  INY.5X10ML 4014232,PQPIS,3,,,,,
PISA-176,TOTENFLI 20G,PQPIS,0,,,,,
PISA-175,VITABECID 250 ML,PISA,0,,,,,7502099406297
PISA-174,SOLUCION HT 250 ML 4006598,PQPIS,382,,,,,
PISA-173,ANTIVON VET 4 MG CON 10 TAB 4014172,PQPIS,19,,,,,
PISA-172,PRAMOTIL VET 5MG 50 ML,PQPIS,29,,,,,7502099405221
PISA-171,CLOXAPRAM 20 ML,PQPIS,32,,,,,
PISA-170,AMOXICLAV VET 125 MG 14 TAB,PQPIS,8,,,,,
PISA-169,PIROFLOX 150 MG C/20 TAB,PQPIS,21,,,,,7502099401971
PISA-168,AMOXICLAV VET POLVO P/SUSP ORAL 70 ML,PQPIS,4,,,,,
PISA-167,SOLUCION CS 7.5% 1000ML  4001269,PQPIS,36,,,,,
PISA-166,PISADOL 100 MG  SOL ORAL FCO GOT 10 ML,PQPIS,237,,,,,
PISA-165,CLINDAPIS SOL. ORAL FCO. 20 ML 4021761,PQPIS,0,,,,,
PISA-163,GENTAERBA 100ML.    4001289,PISA,0,,,,,
PISA-162,MEGACLOX 40/8MG C/10 IMP,PISA,0,,,,,
PISA-161,MASSPERFORMANCE MINERALES 3.78L,PISA,0,,,,,
PISA-158,SEBA ADE 500ML,PISA,0,,,,,
PISA-157,VITABECID 100 ML,PISA,520,,,,,7502099402039
PISA-156,--SOLUCION DX-5 FLEXOVAL 1000 ML 4001276,PQPIS,0,,,,,
PISA-155,ECTOSIN L/A 31.5  500 ML,PISA,0,,,,,
PISA-154,-------PRANTEL PLUS TOY TABLETA 4041198,PQPIS,0,,,,,
PISA-153,PRANTEL PLUS  10 KG 20 TABS 4009964,PQPIS,47,,,,,
PISA-151,PIROFLOX 50 MG 30 TAB 4006606,PQPIS,72,,,,,
PISA-149,GENTAERBA 10 GRS,PQPIS,0,,,,,
PISA-148,---SOLUCION. DX 50 % 500 ML 4001279,PISA,0,,,,,
PISA-147,PISACAINA 2% C/EPINEFRINA 50ML,PQPIS,36,,,,,
PISA-146,RAPRIL TAB 2.5MG FCO C/30,PQPIS,27,,,,,
PISA-144,SINATAQ 40 POLVO SOBRE 10GR,PQPIS,25,,,,,
PISA-143,----PISABENTAL 6.3% INY 100 ML  4003178,PISA,0,,,,,
PISA-142,SOLUCION CS 0.9% 250ML 4006599,PQPIS,139,,,,,
PISA-138,RANULIN VET 40 MG C/30 TAB,PQPIS,7,,,,,
PISA-137,OXITOPISA 100 ML,PISA,10,,,,,
PISA-136,PISAFLAM 100 ML,PISA,0,,,,,
PISA-134,PIROFLOX PLUS 250 ML 4002529,PISA,16,,,,,7502099400073
PISA-133,IRONHORSE 20 MG 20 ML,PQPIS,31,,,,,7502099402008
PISA-130,BASETYL 200 SOL. INY. 20% 250 ML 4001964,PISA,0,,,,,
PISA-129,RANULIN VET 40 MG INY 50 ML 4066604,PQPIS,0,,,,,
PISA-127,MELOCAXYL 1.5ml SUSP.ORAL 10ML 4017434,PQPIS,0,,,,,4017434
PISA-126,PENTASTAR JABON 77G,PQPIS,6,,,,,
PISA-125,PISALIV VET 3 MG SOL OFTALMICA 15 ML,PQPIS,56,,,,,
PISA-121,ZIPAMIX 4.8% ORAL 10KG,PISA,0,,,,,
PISA-120,SOLUCION DX-50 500ML 4053286,PQPIS,70,,,,,
PISA-115,NAPZIN SOL. INY.  50 ML   4001319,PISA,87,,,,,7502099489412
PISA-113,DONEXENT 100 MG C/100TAB 4023468,PQPIS,48,,,,,
PISA-112,STOP ON 60 ML 4007573,PQPIS,228,,,,,
PISA-110,ESPIRANIDE 125 MG C/10 TAB 4017437,PQPIS,86,,,,,
PISA-108,COMPLENAY ELIXIR 3.5 LTS 4001234,PISA,7,,,,,
PISA-107,FERRITON-200  100 ML 4001222,PISA,52,,,,,
PISA-106,PRANTEL PUPPY 20 ML 4002526,PQPIS,23,,,,,
PISA-105,AGUA ESTERIL 1000 ML  4001285,PQPIS,0,,,,,
PISA-103,PREDICOR VET 50 MG C/20 TAB 4006602,PQPIS,33,,,,,
PISA-102,PREDICOR VET 5 MG C/20 TAB 4006601,PQPIS,19,,,,,
PISA-101,COCCITRAK 5% SUSP. ORAL 250 ML,PISA,0,,,,,7502099400097
PISA-100,DOCARPINA 100 MG C/60 TAB 4017412,PQPIS,12,,,,,
PISA-099,DOCARPINA 50 MG FRASCO 60 TAB 4017411,PQPIS,60,,,,,
PISA-098,DOCARPINA 25 MG FRASCO 60 TAB 4013928,PQPIS,8,,,,,
PISA-097,PENTASTAR SHAMPOO 250ML 4002823,PQPIS,0,,,,,
PISA-095,FENPIZOL GRAN. 22% 10.23 GR 4001301,PQPIS,0,,,,,
PISA-092,EQUIPRAZOL PASTA ORAL 6.15,PISA,21,,,,,
PISA-090,ECTOSIN EQUUS PLUS PASTA ORAL 4009956,PISA,41,,,,,7502099402510
PISA-088,CAROSEN 50 GR. SOBRE,PISA,63,,,,,
PISA-082,NAPZIN 50 MG 250 ML.   4001323,PISA,50,,,,,7502099489559
PISA-081,TOPAZONE 250 CC  4001846,PQPIS,125,,,,,7502099487968
PISA-079,SOLUCION CS 1 LTO,PQPIS,129,,,,,
PISA-078,FLEBOTEK CON ESPIRAL,PISA,0,,,,,
PISA-077,MASSPERFORMANCE EQUINO 3.785 LTS,PISA,1,,,,,
PISA-073,SOLUCION HT 5 LT. SOL. INY,PQPIS,15,,,,,
PISA-072,FLEBOTEK S/AGUJA VET 4001310,PISA,1,,,,,
PISA-071,ELECTRODEX GLN PEDIATRICO 180GR C/5 2475,PISA,0,,,,,
PISA-069,SINATAQ 100 ML 4005723,PQPIS,2,,,,,
PISA-068,PISADOL 50 SOL INY FCO AMP C/50 ML 14235,PQPIS,90,,,,,
PISA-066,PISADOL 20 SOL. INY FCO AMP C/20 ML VET,PQPIS,77,,,,,
PISA-065,AMX LA SUSP. INY. 100ML 4002093,PISA,40,,,,,7502099489795
PISA-064,TRES SULFAS INY. 100ML 4001290,PQPIS,83,,,,,7502099488521
PISA-063,---CRIVOSIN VET INY 1 MG 10 ML,PISA,0,,,,,
PISA-062,FLEBOTEK NORMOGOTERO (4001312) VENOCLISI,PQPIS,"1,236.00",,,,,
PISA-061,CALCIOSOL CON FIJ. C/150 COMP. 4001303,PQPIS,77,,,,,
PISA-060,OTROZOL 500 INY 100 ML 4002691,PQPIS,193,,,,,7502099400608
PISA-058,TRES SULFAS 250 ML. SOLUCION INY.,PISA,9,,,,,
PISA-057,VALSYN NF POLVO SOLUBLE 5 GR.,PISA,"4,016.00",,,,,
PISA-056,PIROFLOX 5% 50ML 4001294,PQPIS,39,,,,,7502099488613
PISA-055,SOLUCION DX-5 INY. FLEXO 500 ML 4001275,PQPIS,0,,,,,
PISA-054,RAPRIL TAB. 1.25MG FCO/30 4014025,PQPIS,25,,,,,
PISA-053,BASETYL MAX 250 ML 4003173,PISA,0,,,,,
PISA-050,SOLDRIN OFTALMICO GOT 10 ML 4003231,PQPIS,12,,,,,
PISA-049,HORPROGES 10 ML 4006616,PISA,0,,,,,
PISA-048,SOLUCION CS INY. FLEXOVAL 500 ML. VET,PQPIS,586,,,,,
PISA-047,SOLUCION HT INT FLEXOVAL 500 ML. 4001277,PQPIS,499,,,,,
PISA-046,PRANTEL PLUS PERROS GRANDES C/20TAB 7468,PQPIS,40,,,,,
PISA-045,PRANTEL PUPPY SUSP ORAL 150 ML 4008356,PQPIS,28,,,,,
PISA-044,TH4 + ENV PLASTICO 1 LTO 4013730,PISA,22,,,,,
PISA-042,SOLUCION HT PISA 2.5 L VET. 4001271,PQPIS,0,,,,,
PISA-040,SOFLORAN VET 100ML 4014170,PISA,47,,,,,
PISA-039,ENERCOL-30 ML,PISA,30,,,,,
PISA-038,SUTURA NO ABSORBIBLE NYLON 4049620/49626,PQPIS,"1,104.00",,,,,
PISA-037,ALNEX SOL. INY. 100 VET  4001306,PISA,149,,,,,7502099488781
PISA-036,ALNEX SOL. INY. 250 ML. VET   4001305,PISA,157,,,,,7502099488774
PISA-035,PENDIBEN COMPUESTO 50 MUI VET  4002468,PISA,28,,,,,7502099400288
PISA-034,PISACAINA 2%  INY. FCO. 50 ML 4002689,PISA,242,,,,,
PISA-033,----ANESKET 10 ML,PISA,0,,,,,
PISA-032,ECTOSIN EQUUS SIMPLE PASTA C/25 ML 09957,PISA,39,,,,,7502099402527
PISA-029,SOLUCION HT  PISA 1 LTO 4001278,PQPIS,"1,603.00",,,,,
PISA-028,SUTURA ABSORBIBLE PGA 4049621 A 4049625,PQPIS,"1,145.00",,,,,
PISA-027,KLONTERFULIF 4% INY. 4046059,PISA,16,,,,,
PISA-026,----INDUPAR 20 ML 75mg 4006618,PISA,0,,,,,
PISA-025,BEPLENOVAX  INY FCO 1000 ML VET 4002692,PISA,1,,,,,
PISA-024,PROCIN EQUUS INY. 50 ML. 4001342,PISA,251,,,,,
PISA-023,STOP ON 250 ML 4001214,PISA,302,,,,,7502099486244
PISA-022,----PISAMIX PLUS POLVO 10G/2G 5 K,PISA,0,,,,,
PISA-021,PROCIN 2% 25 ML 4001321,PQPIS,30,,,,,
PISA-020,MASSPERFORMANCE YEGUA 3.78L 4033795,PISA,16,,,,,
PISA-019,COMPLENAY   B12 ELIXIR 100 ML  4001203,PQPIS,"1,412.00",,,,,7502099486046
PISA-018,TRES SULFAS  500 ML SOLUCION INY 4001292,PISA,10,,,,,7502099488545
PISA-017,FURACINE POMADA 85 GR.  4001226 . PQ,PISA,86,,,,,7502099486435
PISA-016,PENTREN VET 40MG POLVO SOL. INY 4046060,PQPIS,0,,,,,
PISA-015,NAPZIN SOL. INY. 100 ML 4001320,PISA,88,,,,,7502099489429
PISA-014,----MEGACLOX CR200 20MG 20 COMP.,PISA,0,,,,,
PISA-013,PIROFLOX 10% 250 ML    4001256,PISA,20,,,,,7502099487739
PISA-012,MELOCAXYL IV 20 INY. 50ML 4050193,PQPIS,0,,,,,
PISA-011,FURACINE POMADA 453 GR 4001227  PQ,PISA,248,,,,,7502099486442
PISA-010,NAPZIN 10 ML   4001326,PQPIS,305,,,,,7502099489597
PISA-009,PRANTEL PLUS TOY C/24 TAB 4041198,PQPIS,20,,,,,
PISA-008,OXITOPISA 250 ML 4001343,PISA,64,,,,,7502099489870
PISA-007,FUREAL BOLOS,PISA,"2,238.00",,,,,7502099400561
PISA-006,COCCITRAK 2.5% 1 LTO 4002539,PISA,12,,,,,7502099400080
PISA-005,MELOCAXYL TABLETAS 1MG CJ. C/30  4046067,PQPIS,25,,,,,
PISA-004,TOPAZONE AEROSOL   400 ML,PISA,223,,,,,7502099402602
PISA-003,KRUNAMINA V. ROJA .5MG 10 ML 4046054,PQPIS,13,,,,,
PISA-002,NF 180 NF TABLETA  4002890,PISA,"2,517.00",,,,,7502099487005
PISA-001,FURACINE® NF SOL. TOPICA 500 ML,PISA,3,,,,,
PIER-005,IVERMECTIN POUR ON 7ML,PIER,0,,,,,
PETSPHARMA-111,SOSTEN CG 5ML,PHARM,89,,,,,
PETSPHARMA-110,LACTY-PET DOG 450GR  PET563,PHARM,30,,,,,7506343803245
PETSPHARMA-109,DEX-HIDRO-VIT 500ML,PHARM,49,,,,,
PETSPHARMA-108,KANNES SHAMPOO INSECTICIDA 4LTS,PHARM,12,,,,,7506343803412
PETSPHARMA-107,DERMACALM SPRAY 130ML PET519,PHARM,160,,,,,7506343803108
PETSPHARMA-106,BIOPREVENT PARVO PET544,PHARM,"1,872.00",,,,,
PETSPHARMA-105,CLOREXIVET CLEAN 100ML PET550,PHARM,104,,,,,7506343803030
PETSPHARMA-104,BIOPREVENT PUPPY PLUS (DPA29 PET546,PHARM,108,,,,,
PETSPHARMA-103,BIOPREVENT TRIPLE CANINA DHL PET547,PHARM,42,,,,,
PETSPHARMA-102,BIOPREVENT PARVO PLUS,PHARM,679,,,,,
PETSPHARMA-101,IVERPLUS 1% 10ML PET025,PHARM,26,,,,,7506343801043
PETSPHARMA-100,RECOVERY PERROS 180ML,PHARM,0,,,,,
PETSPHARMA-099,RECOVERY GATOS 180ML,PHARM,45,,,,,7506343803139
PETSPHARMA-098,BIOPREVENT BOOSTER PLUS DPA2H-L,PHARM,324,,,,,
PETSPHARMA-096,MELOXIVET 4MG C/30 TAB PET177,PHARM,239,,,,,7506343800039
PETSPHARMA-095,MELOXIVET 2.5MG c/30 TABLETAS PET176,PHARM,135,,,,,
PETSPHARMA-094,CEPHAPETS 250 60ML PET055,PHARM,74,,,,,
PETSPHARMA-093,CALCIPETS TABS C/30 PET020,PHARM,145,,,,,7506343801760
PETSPHARMA-092,MELOXIVET 1 MG C/30 TAB  PET175,PHARM,79,,,,,7506343800015
